index,song,year,artist,genre,lyrics
58720,a-little-less-sixteen-candles-a-little-more,2016,fall-out-boy,Rock,"I confess, I'm messed up Dropping ""I'm sorry's"" like you're still around And I know you dressed up Said ""hey kid you'll never live this down"" And you're just the girl all the boys want to dance with And I'm just the boy who's had too many chances I'm sleeping on your folk's porch again, dreaming She said, she said, she said, ""Why don't you just drop dead?"" I don't blame you for being you But you can't blame me for hating it So say, what are you waiting for? Kiss her, kiss her I set my clocks early 'cause I know I'm always late Write me off, give up on me Cause darling what did you expect I'm just off a lost cause A long shot, don't even take this bet You can make all the moves, you can aim all the spotlights Get all the sighs and the moans just right I'm just always on You said you'd keep me honest (you're always on) But I won't call you on it"
103128,a-little-uncanny,2016,conor-oberst,Rock,"You started drinking the Kool-Aid We were taking the bait We were talking big talk Never playing it safe Looking good as Jane Fonda On a Vietnam tank Can't get something for nothing Have to energize your base But she was young enough She was blonde enough She was about a perfect ten Had millions of admirers but not one single friend And it's a, it's a little uncanny what she managed to do Become a symbol for a pain she never knew You know old Ronnie Reagan He was a shoe salesman's son He got himself in the movies He impressed everyone He thought trial by fire Was America's fate He made a joke of the poor people And that made him a saint But he was tan enough, he was rich enough He was handsome like John Wayne And there was no one at the country club Who didn't feel the same But it's a, it's a little uncanny What he managed to do Got me to read those Russian authors through and through I miss Christopher Hitchens I miss Oliver Sacks I miss poor Robin Williams I miss Sylvia Plath Every morning's a desert Every night is a flood They say a party can kill you Well sometimes I wish it would But I'll get strong enough, I'll be man enough To keep myself in check 'Cause all my friends that flew to town Said that's what they expect But it's a, it's a little uncanny What they managed to do Made me admit to things I knew were never true"
145575,alive,2016,darren-suiter,Other,"So much and i am still alive Chromed-out mansion in paradise Hey! what's your name? oh, that's nice Ride or die, thats how we stay alive Gator-toed, three quarters, sky blue No longer alive with out you, I'm alive holy jesus i'm alive She told me it over and over, i would say more than twice I'm everything that they call nice Most haters dont want to see you alive I used to have a nine to five For once i feel alive, Why am i still alive? ...club, we'll be actin' real nice Right flows down and they might go nice But I'm still alive"
139835,alive,2016,elena-ammerman,Other,"I feel this everyday, day, day Gotta think of what to say, say, say Don't you know, oh, oh I can't see us any other way, ay, ay Cause' when you look at me I feel like it's just a dream Where its only you and me No pressure to be Anything but what, we both feel inside You're making me feel alive You're making me feel alive You're making me feel alive You take my breath away, ay, ay Getting closer everyday, day, day I can see it in your eye, eye, eyes That you wanna be my, my, mine (oh baby) Cause' when you look at me I feel like it's just a dream Where its only you and me No pressure to be Anything but what, we both feel inside You're making me feel alive You're making me feel alive You're making me feel alive Woah, oh (x3) I knew it's always been You Woah, oh"
25148,alive,2016,cimorelli,Pop,"I sat alone in the cold In my room that night My face was wet with the tears Of a thousand and one lonely nights No one came No one called No one cared And no one saw And yet everything was alright As I sat there in my loneliness Wrapped my arms around my knees And I held tight I could feel my heartbeat That's how I know I'm alive (x8) I feel because I'm alive Sometimes it's not easy to And I don't want to feel But if I close off and just be numb What would I become? Shining down Getting by Even though This pain inside Is how I know I'm alive (x8) I feel because I'm alive I live, I breathe Wanna feel every single thing I'm alive I wanna live, not just survive I'm alive (x10)"
107537,all-about-lovin-you,2016,bon-jovi,Rock,"Looking at the pages of my life Faded memories of me and you Mistakes you know I've made a few I took some shots and fell from time to time Baby, you were there to pull me through We've been around the block a time or two I'm gonna lay it on the line Ask me how we've come this far The answer's written in my eyes Every time I look at you, baby, I see something new That takes me higher than before and makes me want you more I don't wanna sleep tonight, dreamin's just a waste of time When I look at what my life's been comin' to I'm all about lovin' you I've lived, I've loved, I've lost, I've paid some dues, baby We've been to hell and back again Through it all you're always my best friend For all the words I didn't say and all the things I didn't do Tonight I'm gonna find a way Every time I look at you, baby, I see something new That takes me higher than before and makes me want you more I don't wanna sleep tonight, dreamin's just a waste of time When I look at what my life's been comin' to I'm all about lovin' you You can take this world away You're everything I am Just read the lines upon my face I'm all about lovin' you Every time I look at you, baby, I see something new That takes me higher than before and makes me want you more I don't wanna sleep tonight, dreamin's just a waste of time When I look at what my life's been comin' to I'm all about lovin' you All about lovin' you"
6415,all-about-tonight,2016,fourever1,Other,"Work hard Am to PM I can't wait for the weekend Live fast, die young, I'm needing a break Give me a break I don't wanna be so serious, Like it more louder, then turn up We ain't gotta be so serious So turn down the lights It's all about tonight Let me see you whine It's all about tonight Ladies wanna shake that It's all about tonight You know what I feel like Baby, when you lose control Let me see you go Let me see you go Let me see you go Let me see you go Let me see you go Champagne, poppin' them bottles Dancing till we be trapped in No one cares what you're doing tonight Do what you like I don't wanna be so serious, Like it more louder, then turn up We ain't gotta be so serious So turn down the lights It's all about tonight Let me see you whine It's all about tonight Ladies wanna shake that It's all about tonight You know what I feel like Baby, when you lose control Let me see you go Let me see you go Let me see you go Let me see you go Let me see you go Just forget about tomorrow Simply 'cause It's all about tonight Let me see you whine It's all about tonight Ladies wanna shake that It's all about tonight You know what I feel like Baby, when you lose control Let me see you go Yeah yeah It's all about tonight Yeah yeah It's all about tonight Yeah yeah It's all about tonight Yeah yeah It's all about tonight"
193946,all-about-your-love,2016,doug-doo,Other,"Something is coming I'm believe The life is so pretty We must enjoy the city Learning how to fly There is no way I can't say goodbye Let's just get away I just wanna tell you How I feel Just trying to make You to understand All about your love All about your love Siga seu coraÃƒÂ§ÃƒÂ£o Seja vocÃƒÂª mesmo FaÃƒÂ§a o bem E sÃƒÂ³ vai Let's just get away I just wanna tell you How I feel Just trying to make You to understand All about your love All about your love Doo, doo, doo, doo, doo, doo, doo. doo, doo, doo, doo, doo, doo. All about your love"
213481,alla-fine,2016,daniele-silvestri,Pop,Non era vero (non era vero) Che era finito Ho preso al volo Il tuo rifiuto Gli ho dato un peso (non era vero) L'ho valutato Poi l'ho sospeso Come adesso il fiato PerchÃƒÂ© alla fine si puÃƒÂ² non dire Si puÃƒÂ² mentire A fin di bene ÃƒÂˆ il senso diuna foto Indviduale Un solo istante Da congelare E tutto ciÃƒÂ² che viene dopo Non ÃƒÂ¨ avvenuto Si puÃƒÂ² cambiare Immaginare Da lÃƒÂ¬ in poi Da qui in poi Dall'alto C'ÃƒÂ¨ sempre Qualcuno Che guarda
109811,all-alone,2016,doris-day,Jazz,"All alone, I'm so all alone There is no one else but you All alone by the telephone Waiting for a ring, a ting-a-ling I'm all alone every evening All alone, feeling blue Wondering where you are and how you are And if you are all alone too I wonder where you are (remember me) and how you are (remember me) And if you are (I love you) all alone (I love you) too"
