index,song,year,artist,genre,lyrics
171030,7,2016,birdman,Hip-Hop,"[Intro  Jacquees] Lost at sea nigga Can't see nothing but the water [Hook  Jacquees] Ay we ain't playin' 'bout this side You owe me money, better hide Too many niggas, they done tried Too many niggas, they done died I took the pistol and I ride Got pretty bitches getting high 007, I'm golden And I brought my set to the Nolia [Verse 1  Jacquees] Nigga know what I'm doing Bad hoes I'm pursuing Bitch I might sit like a Bruin Bitch we icy, fuck a Bruin Hit that pussy from the back I'm Chipper Jones with a bat Ran off on the plug And we ain't ever coming back See me and Tunechi got a stack See me and Stunner got a stack See being broke is like an ex And I ain't never going back My jewelry shine like a plaque You tuck your chain, you a bitch Load the chopper, yelling free the 'Woper Know we Gucci 'cause I'm from the six [Bridge  Jacquees] Notice how I hustle the whole play They been tryna block us all day We ain't finna let 'em stop us So I'm still on the block with my cousins [Hook  Jacquees] Ay we ain't playin' 'bout this side You owe me money, better hide Too many niggas, they done tried Too many niggas, they done died I took the pistol and I ride Got pretty bitches getting high 007, I'm golden And I brought my set to the Nolia [Verse 2  DeJ Loaf] I said woah woah, yeah yeah Chopper gon' hit you from both sides Niggas be thinking shit sweet 'til we pop up Kids close your eyes Make sure before you come for me Bitch close your thighs Hoes can't control theyselves It's a must they die You don't even want to know what's in the trunk That ain't the trunk, bitch that's the trunk I been the shit since I was on sippy cups You ain't got balls, pull your zipper up That's a hundred right there, cool fifty tucked Try to touch anything, we go cocoa puffs Yeah, crack your coconut Pussy [Bridge  Jacquees] Notice how I hustle the whole play They been tryna block us all day We ain't finna let 'em stop us So I'm still on the block with my cousins [Hook  Jacquees] Ay we ain't playin' 'bout this side You owe me money, better hide Too many niggas, they done tried Too many niggas, they done died I took the pistol and I ride Got pretty bitches getting high 007, I'm golden And I brought my set to the Nolia"
258121,9,2016,drake,Hip-Hop,"Yeah, for the dogs dem, you know Man when shit gets like this, in the whole city Shit's crazy right now, this shit ain't gonna stop You know shit gonna get a lot more worse before it get any better Look Momma hit my phone and said rap's no good Better than her telling me the check's no good Now they wanna act like I do no good Funny 'cause I really did more than I should I made a decision last night that I would die for it Just to show the city what it takes to be alive for it Can't get me on the line so they hang me out to dry for it You know 40 wants peace, but I'm down to cut ties for it And I can't sleep these days unless I take one If they don't have a story these days, they'll make one Life is always on, man, I never get a break from it Doesn't matter where I go, I can never get away from it They give me loyalty and I don't gotta pay for it Same way, brands gotta break for it Keeping people fed is my only peace of mind now And I turn the six upside down, it's a nine now I made a decision last night that I would die for it (Dying, yeah, yeah, gangstas, gangstas, gangstas) (Dying, yeah, yeah, gangstas, gangstas, gangstas) (Dying, yeah, yeah, gangstas, gangstas, gangstas) (Dying, yeah, yeah, gangstas, gangstas, gangstas) All these hand outs, man it's getting outta hand I'mma start telling niggas ""Get it how you can"" I got it right now so I'm everybody's friend If I ever lose I bet we never speak again I made a decision last night I'd die for it Just to show the city what it takes to be alive for it First place, first place, man we can't be tied for it I only drove it five times, paid 1.5 for it Keychain go jang-a-lang, I wanna do major things MJ in every way, I just don't fade away Six upside down, it's a nine now Like Mannie, like Stunna, man, shit is big time now And I made a decision last night that I would die for it (Dying, yeah, yeah, gangstas, gangstas, gangstas) (Dying, yeah, yeah, gangstas, gangstas, gangstas) (Dying, yeah, yeah, gangstas, gangstas, gangstas) (Dying, yeah, yeah, gangstas, gangstas, gangstas) (Make me feel the same way that I did to you Trust me when I say I'll go without you Trust me when I say that shit is old moves God made himself a way from me to you Tried to kill me but they still want the Views Tried to kill me but they still want the Views Tried to kill me but I am very much alive on the six side Yeah, I said I am very much alive on the six side I said I am)"
100548,30,2016,big-k-r-i-t,Hip-Hop,"[Intro] So it don't really matter how much money I do gain over life It just if I owe my homies and my partners back in the day I gotta give back man, believe that though Yeah, believe that there [Hook] I bought a bag of hot fries, hotdog and a drink I put the rest off in the tank I owe you 30 dollars I had to pay you that What kind of friend would I be? If I ain't pay you back I bought a 40 and a magazine Of all the cars,hoes, clothes That i never seen I owe you 30 dollars I had to pay you that What kind of friend would I be? If I ain't pay you back [Verse 1] Multi sweats with the multi tee Before I had the multi clothes you could multi me Multi million dolllar dreams rolled in dirt Colt 45 still reserved, irk and jerk Cop a fifth for the 599 Little caesers hot and ready That's gon' hold us down I had a scheme to get rich And Imma show you how I can't pay no bills I know shit is real But thank you for the couch And that chick that came through I thought I loved her I'm glad you saw my checks And shot a young player rubbers Winter time cold bought a young player covers Eviction notice on the door I'm sorry for the trouble I ain't have no job But the beats was a thing to our soul And that bass filled the space When the heater was broke And all those hamburger helper meals That sat on the stove Almost made a nigga sick cause the mixture was old Its funny how that funny style shit never changes Humbling, niggas ain't come up how we came up So now the steak medium plus Medium well, way too tough Worst cut, it ain't medium much Plate 4 hundred degrees, hot boy to the touch Sweet potato casserole, nigga, fuck with the crust Imma shoot the shot if need be, I live for the clutch Stopped sipping drank, it had us on lean like a crutch Nowadays it's a stand up game No sitting room in my vault, I got stand up change Wine tasting and a billion talk And stocks in the villa route The only time I tell a chick to taste it and spit it out Long way from the boxes of wine Roasting Louis 13 under candle for shine Copping shit they'll never stock Shoes they'll never drop My music got way too much bounce It'll never flop They some lames in a bubble They'll never pop Puppets on a string Shuck and jive call them fraggle rocks But we cut from a different cloth ????, my nigga that's a different cost See the smoke, garlic, aeoli, that's a different sauce Invisible set with the grill, that's a different floss Making toast for the blessings, I'm a different boss Losing friends over bread, that's a different loss So just in case I never told you before Let me pay back what I owe So just in case I never told you before Let me pay back what I owe [Hook][Intro] So it don't really matter how much money I do gain over life It just if I owe my homies and my partners back in the day I gotta give back man, believe that though Yeah, believe that there [Hook] I bought a bag of hot fries, hotdog and a drink I put the rest off in the tank I owe you 30 dollars I had to pay you that What kind of friend would I be? If I ain't pay you back I bought a 40 and a magazine Of all the cars,hoes, clothes That i never seen I owe you 30 dollars I had to pay you that What kind of friend would I be? If I ain't pay you back [Verse 1] Multi sweats with the multi tee Before I had the multi clothes you could multi me Multi million dolllar dreams rolled in dirt Colt 45 still reserved, irk and jerk Cop a fifth for the 599 Little caesers hot and ready That's gon' hold us down I had a scheme to get rich And Imma show you how I can't pay no bills I know shit is real But thank you for the couch And that chick that came through I thought I loved her I'm glad you saw my checks And shot a young player rubbers Winter time cold bought a young player covers Eviction notice on the door I'm sorry for the trouble I ain't have no job But the beats was a thing to our soul And that bass filled the space When the heater was broke And all those hamburger helper meals That sat on the stove Almost made a nigga sick cause the mixture was old Its funny how that funny style shit never changes Humbling, niggas ain't come up how we came up So now the steak medium plus Medium well, way too tough Worst cut, it ain't medium much Plate 4 hundred degrees, hot boy to the touch Sweet potato casserole, nigga, fuck with the crust Imma shoot the shot if need be, I live for the clutch Stopped sipping drank, it had us on lean like a crutch Nowadays it's a stand up game No sitting room in my vault, I got stand up change Wine tasting and a billion talk And stocks in the villa route The only time I tell a chick to taste it and spit it out Long way from the boxes of wine Roasting Louis 13 under candle for shine Copping shit they'll never stock Shoes they'll never drop My music got way too much bounce It'll never flop They some lames in a bubble They'll never pop Puppets on a string Shuck and jive call them fraggle rocks But we cut from a different cloth ????, my nigga that's a different cost See the smoke, garlic, aeoli, that's a different sauce Invisible set with the grill, that's a different floss Making toast for the blessings, I'm a different boss Losing friends over bread, that's a different loss So just in case I never told you before Let me pay back what I owe So just in case I never told you before Let me pay back what I owe [Hook]"
120731,45,2016,chris-brown,Hip-Hop,"[Hook] And I'm like Jordan wearing 45 I told you I was coming back And every time they tried to push me out I told you I was coming back 45, 45, going back like I ain't leave 45, 45, I been nice since 23 Balling hard, balling hard, swear I need a referee I can see the jealousy, the haters always mad at me, I know [Verse 1] Now why you keep me going? Why you keep me going? Knowing it can't stop a nigga But I know they know, and they already know it Yeah I know I'm on but I'll still off a nigga, woah Before we even talking, what's your offer nigga? Woah Make sure that bank account is looking proper, nigga Make sure my niggas eating steak and lobster nigga We hustle hard, you hardly hustle, that's your problem nigga Question us and we can solve it, what's your problem nigga? Funny how these busters turn to Prima Donna niggas My whole team, my whole team, yeah we looking like the Bulls in 92 and 93, yeah My whole team, my whole team, yeah you know it's OHB, 45 [Hook] And I'm like Jordan wearing 45 I told you I was coming back And every time they tried to push me out I told you I was coming back 45, 45, going back like I ain't leave 45, 45, I been nice since 23 Balling hard, balling hard, swear I need a referee I can see the jealousy, the haters always mad at me, I know [Verse 2] Now why you keep me going? Why you keep me going? Knowing it can't stop a nigga They quick to try and put my shit out in the open Yeah it's cool, I ain't forgot it nigga Now these famous bitches started blowing up my line again Basic bitches calling cause they bank accounts is minusing, no Money ain't a problem, we got commas boy, woah If you don't want these problems, save the drama boy, woah Fame for the real ones, shut the roster boy, woah And my niggas still gon' eat that steak and lobster boy, woah My whole team, my whole team, yeah we looking like the Bulls in 92 and 93, yeah My whole team, my whole team, yeah we looking hard to beat [Hook] And I'm like Jordan wearing 45 I told you I was coming back And every time they tried to push me out I told you I was coming back 45, 45, going back like I ain't leave 45, 45, I been nice since 23 Balling hard, balling hard, swear I need a referee I can see the jealousy, the haters always mad at me, I know [Verse 3] I'mma spend a 100 racks in K.O.D You know they sucking dick if they in V.I.P Told the waitress to roll up, bitch forget the drinks All this money in the air, the pussy follow me A .45 on my side, I'm 'bout to drive Trap jumping out the jam, think I can fly 45, 23, bounce Money I'm counting, wanna be like Mike [Hook] And I'm like Jordan wearing 45 I told you I was coming back And every time they tried to push me out I told you I was coming back 45, 45, going back like I ain't leave 45, 45, I been nice since 23 Balling hard, balling hard, swear I need a referee I can see the jelaousy, the haters always mad at me, I know"
81433,100,2016,21-savage,Hip-Hop,"21, 21, 21 Slaughter Gang 21 21 Gang Y'all know what the fuck poppin' Slaughter Gang shit 21, 21 Choppa on me hold a 100 (100) Choppa on me hold a 100 (hold up) Choppa on me hold a 100 (hold up) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (200) Choppa on me hold a 100 (300) Choppa on me hold a 100 (21) Choppa on me hold a 100 (hold up) Choppa on me hold a 100 (hold up) Choppa on me hold a 100 Choppa on me hold a 100 Choppa on me hold a 100 Choppa on me hold a 100 (21) Choppa on me hold a 100 (21, 21) Choppa on me, hold a 100 Pull up on your nigga, gun him Pull up on your niggas runnin' 21, 21, 21 Pull up on you, get to clappin' Slaughter Gang known for whackin' Slaughter Gang known for trappin' 21 I'm 21 Savage, I play with them sticks 21 Savage, I play with them bricks 21 Savage, I play with your bitch Groupie bitches, I just nut on their lips Slaughter Gang Savage a fool with that chop Slaughter Gang Savage a fool on the block Slaughter Gang Savage a fool with that Glock 12 gauge knock you outta your socks Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 Choppa on me hold a 100 Choppa on me hold a 100 Choppa on me hold a 100 Choppa on me hold a 100 (blow, blow, blow) Skrrt, skrrt, skrrt, scrape the bowl I got a white bitch, play with her nose (snout coke) VVS diamonds, yeah they froze (bling, blaow) So rich I bought my bitch a ring for her toe (rich nigga shit) 50 thousand on me, hol' up, 100 thousand on me, hol' up 200 on a Bentley, hol' up I'm in this bitch doin'... donuts Choppa hold me hold a 100, bitch Glock 40 with the 30 clip ZL6 you know it's rented bitch Niggas fakin' and we run it, bitch Choppa on me hold a 100 (21) Choppa on me hold a 100 (ra!) Choppa on me hold a 100 (graa!) Choppa on me hold a 100 (glaw, glaw, glaw) Choppa on me hold a 100 (pow, pow, pow, pow, pow) Choppa on me hold a 100 (glaw, glaw, glaw) Choppa on me hold a 100 (pow, pow, pow, pow, pow) Choppa on me hold a 100 (pow, pow, pow, pow, pow) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (21) Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (a 100) Choppa on me hold a 100 (21)"
329276,80808,2016,death-grips,Hip-Hop,"Air raid, I slang the math raider nation, black cab Psychic radio also known as Only channel in our mobile lab I got that priceless touch, won't cost you a fucking thing Biter appear instantly, got pigs to feed You see my pimp, she's pissed at me Aye doe, bite that Aye doe, aye doe, aye doe, bite that Aye doe, bite that Aye doe, aye doe, aye doe, bite that Acquire this link, it's a ringer Cop my steeze, make yours much fresher or whatever Aye doe, aye doe, aye doe, aye doe, aye doe, bite that Aye doe, aye doe, aye doe, aye doe, aye doe, bite that Flock of pigeons come I got crumbs, biters, bob, and slum Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me Fuck with me I keep my street the same Pave these potholes, see no rain Lately I seen rainfall close-range Ain't no thing too clean don't bang, besides Can't trust a man with cream as white As hundred clean cocaine I'm custom like you like Biters in my sights I got that priceless touch I got that priceless touch Aye doe, bite that, aye doe, aye doe, aye doe Aye doe, bite that, aye doe, aye doe, aye doe I got that priceless touch Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me I hardly notice them I toss all bums generous portion of my goat But I keep the bones Aye doe, bite that Aye doe, aye doe, aye doe, bite that Aye doe, bite that Aye doe, aye doe, aye doe, bite that Mastered by me, magnified My laughter fed back through your swine Your forehead tat, my hazmat tag Serpent coil egg and flag Aye doe, bite that Aye doe, aye doe, aye doe, bite that Aye doe, bite that Aye doe, aye doe, aye doe, bite that Twins sat rows all identical Not seen as a threat, or so we've been told I hold the key, I blame the key Made me, defame the mold Aye doe, bite that, aye doe, aye doe, aye doe I got that priceless touch Aye doe, bite that, aye doe, aye doe, aye doe I got that priceless touch Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me"
329275,8080808,2016,death-grips,Hip-Hop,"Air raid, I slang the math raider nation, black cab Psychic radio also known as Only channel in our mobile lab I got that priceless touch, won't cost you a fucking thing Biter appear instantly, got pigs to feed You see my pimp, she's pissed at me (Aye doe, bite that Aye doe, aye doe, aye doe, bite that Aye doe, bite that Aye doe, aye doe, aye doe, bite that) Acquire this link, it's a ringer Cop my steeze, make yours much fresher or whatever Flock of pigeons come I got crumbs, biters, bob, and slum Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me (Fuck with me) I keep my street the same Pave these potholes see no rain Lately I seen rain fall close range Ain't no thing too clean don't bang, besides Can't trust a man with cream as white As hundred clean cocaine I'm custom like you like Biters in my sights I got that priceless touch I got that priceless touch Aye doe, bite that, aye doe, aye doe Aye doe, bite that, aye doe, aye doe I got that priceless touch Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me I hardly notice them I toss all bums generous portion of my goat But I keep the bones (Aye doe, bite that Aye doe, aye doe, aye doe, bite that Aye doe, bite that Aye doe, aye doe, aye doe, bite that) Mastered by me magnified My laughter fed back through your swine Your forehead tat my hazmat tag Serpent coil egg and flag (Aye doe, bite that Aye doe, aye doe, aye doe, bite that Aye doe, bite that Aye doe, aye doe, aye doe, bite that) Twins sat rows all identical Not seen as a threat or so we've been told I hold the key, I blame the key Made me defame the mold Aye doe, bite that, aye doe, aye doe I got that priceless touch Aye doe, bite that, aye doe, aye doe I got that priceless touch Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me Aye doe, bite that Aye doe, aye doe, aye doe, bite that Feeds the gank move Biters eat the gank move, fuck with me"
316884,10000-hours,2016,ella-mai,Hip-Hop,"Since the day that I was born I been looking out for love But never really quite found the one They say practice makes perfect I know I deserve it Sometimes we should do it for fun Baby when I clock up I can't wait Promise this time won't go to waste For all we put up now I won't let your love down I know we're not too far away Ayeee ayeee Why you always take so long to call me? Know I gotta wake up in the mornin' You know every second adds up to a minute Need 10,000 hours We can be so in love Don't stop, I'm counting them up Run the clock, I be counting them up We can be so in love You know every second adds up to a minute Need 10,000 hours We can be so in love I've been right and I've been wrong I've been high and I've been low But this time I know it's for sure 'Cause I'm right where I belong And we are only getting stronger Feels good to be down in my soul Baby when I clock up I can't wait Promise this time won't go to waste For all we put up now I won't let your love down I know we're not too far away Ayeee ayeee Why you always take so long to call me? Know I gotta wake up in the mornin' You know every second adds up to a minute Need 10,000 hours We can be so in love Don't stop, I'm counting them up Run the clock, I be counting them up We can be so in love You know every second adds up to a minute Need 10,000 hours There's no time for us holding out 'Cause this love is profound Let the clock go around Let the clock go around Love is best when built from the ground To your heart I am bound Let the clock go around Let the clock go around Why you always take so long to call me? Know I gotta wake up in the mornin' You know every second adds up to a minute Need 10,000 hours We can be so in love Don't stop, I'm counting them up Run the clock, I be counting them up We can be so in love You know every second adds up to a minute Need 10,000 hours"
211904,100-joints,2016,2-chainz,Hip-Hop,"No matter what they say I smoke hundred joints a day Laying by my chopper, chopper laying by my safe No matter what they say I smoke hundred joints a day Laying by my chopper, chopper laying by my safe No matter what they say I smoke hundred joints a day, yeah Hop up out that motherfucker swagging Hop up out that motherfucker dabbing Had an old school on some 'rellis Used to go to school in some Bally's Flexing Macho Man Randy Savage Oh I'm 'bout to let these niggas have it School of hard knocks I graduated I got all my real straight from Baby's Laying by my chopper, chopper by the safe No matter what they say a hundred joints a day I had 'em pre rolled all yesterday You need your passport for our second date You know I'm fly nigga rocking reptiles I'm whooping on this beat like a step child Big ring on and a charm to match Ya my role model was Project Pat Life is too short, nigga born to mac I hope up out that coupe nigga rat, rat Hating on the style I hope you die today I hope they ass don't find your ass for thirty days Mind on my money, money on the state Can't judge a book by its cover turn the page I like her on the pole that's her business nigga As soon as she get off I'mma kick it with her Laying by my chopper, chopper laying by my safe No matter what they say I smoke hundred joints a day Laying by my chopper, chopper laying by my safe Don't matter what they say I smoke hundred joints a day Time to switch it up fo 'em Time to flip it up fo 'em Got a Masi on the corner Pull it out when I want to Pull your bitch when I want her Man I want another joint Cold day now Styrofoam, that's getting to the point East Point in this motherfucker College Park in this motherfucker West Side in this motherfucker The best died in this motherfucker My damn street know I'm riding through it Four four two on the hood Do this shit here for the hood Why you niggas shit on the hood? Two two three at the sunroof Niggas spending like one tooth Turn around and see white smoke when I leave out the mic booth I'm tight nigga that's known Put gold on the white coupe Put gold on the white tooth Put gold on my wife too"
170160,100-racks,2016,future,Hip-Hop,"[DJ Esco & Future ] Summer 16! Yeah! Freebandz, OVO DJ Esco Talkin' duffle talk, yeah [Future & Drake ] Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper And I, I got a... Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper [Drake ] Hunnit racks bustin' out the wrapper All y'all niggas don't matter I hit threes off balance I switch hands like Allen I'm just blessed, full of talent For the whole 6 I'm wylin' You think she your baby girl She text us like Dallas Oh shit, guess it don't matter Talk down on me, I'm flattered Whole Freebandz on Xanax Y'all can't do no damage Wrong cup, guess it don't matter This one tastes like candy This one must be Hendrix's Fuck y'all boys, y'all finished You're dead I don't talk to hoes about business Diamond in my tooth from the dentist Put a nigga name in the Guinness Remember where I'm from cause I'm a menace I ain't dead yet like I'm Bruce Willis I ain't really worried 'bout an image Y'all still treat it like a scrimmage [Future & Drake ] And I, I got a... Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper I, I got a... Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper [2 Chainz ] Yeah! Why not? Okay, okay, okay Truuu! 2 Chainz! Hundred thousand bustin' out the wrapper Count it up 'til I get a callous I don't really talk to y'all rappers Put codeine in a Snapple Put codeine on a salad Guess I'm on a codeine diet Put another hundred in the rifle Everybody better be quiet Everybody put your hands higher Then I chop the top like, ""Hiyah"" All of my 16s fire All of my bitches buyers They buyin' extra clothes, I mean They bisexual, I mean Versace section though, I mean Roll up the Texaco, I mean This is the crazy flow I got a straightjacket in the booth I smoke a joint doin' an interview Got the Rolex playin' peek-a-boo All of you niggas that took the swag I'm a have to get residuals I'm a different individual Got my hand on my genitals [Future & Drake ] I got a... Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper I, I got a... Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper [Future ] We ain't gotta use no scale It's all there, you ain't gotta count it Crocodile Hermes bag Stuffed all down my pockets Hundred racks sittin' in the plastic I ain't even gon' fuckin' touch it You can go ask L.A I don't go to work on budgets You can go check these stones Everything on me flooded And I gotta work three phones Name another nigga gettin' cloned Put a hoe nigga on a shirt Got a new bank account alert Whole Freebandz on mud Taliban gang on percs I ain't gonna take no shorts Turn my dog to a boss We ain't gon' take no losses Know you tryna steal that sauce Hundreds on hundreds on hundreds I done ran up me a bag We got a tour this summer I'm 'bout to run up a bag Hundred thousand dollars for a walkthrough I'm a need mine in cash Got a whole city on my back I ain't 'bout to go outside Whole Freebandz on coke [Future & Drake ] Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper I, I got a... Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper Got a hunnit racks bustin' out the wrapper"
